Area,Item,Element,Unit,Source,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Dominica,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0019,0.0046,0.0009,0.0049,0.0015,0.0016,0.0008,0.0036,0.0021,0.0012,0.0005
Dominican Republic,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.5312,0.5765,0.69,0.9531,1.0307,1.1078,2.0322,1.8181,1.9683,1.6476,1.6476
Ecuador,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.7175,2.5373,2.7255,2.1783,3.0868,3.1522,3.4559,3.2719,3.2719,3.2719,2.5503
Egypt,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,17.0783,17.3501,17.6723,19.1604,20.1221,20.6627,20.966,19.6963,20.9299,20.9299,20.9299
El Salvador,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.1171,1.0869,0.78,0.9129,0.7441,0.5391,0.8529,0.3955,0.6354,0.8194,0.3082
Equatorial Guinea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0056,0.0068,0.007,0.009,0.0074,0.0092,0.0079,0.0041,0.0042,0.0039,0.0039
Eritrea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0097,0.0129,0.0148,0.0159,0.0302,0.0279,0.0731,0.0649,0.0548,0.0325,0.0428
Estonia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.5182,0.5289,0.5627,0.5701,0.5718,0.5867,0.6108,0.6512,0.6519,0.7349,0.6608
Eswatini,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0996,0.0959,0.092,0.0841,0.0791,0.1095,0.0917,0.1152,0.119,0.128,0.128
Ethiopia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.9111,2.7034,3.7291,3.8439,5.4617,5.9184,3.9954,5.4925,7.1581,7.4781,6.6926
Fiji,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0623,0.0583,0.0438,0.0915,0.0663,0.0796,0.0472,0.0668,0.0878,0.0475,0.051
Finland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.1827,2.1707,2.3159,2.2547,2.1706,2.1835,2.1746,2.3068,2.1893,2.2913,1.6488
France,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,31.8203,34.0755,33.9346,35.1975,34.4414,36.8883,34.0958,31.8183,32.8456,31.1644,27.2426
French Guiana,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0112,0.0138,0.0156,0.0133,0.0143,0.0163,0.0165,0.0161,0.0183,0.02,0.02
French Polynesia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0039,0.0039,0.0036,0.0054,0.004,0.0059,0.0037,0.006,0.0049,,
Gabon,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0204,0.0201,0.0291,0.0695,0.0576,0.1217,0.0989,0.0913,0.0423,0.0581,0.1729
Gambia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0071,0.0009,0.0004,0.0022,0.002,0.0006,0.0315,0.0105,0.0003,0.0075,0.0075
Georgia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2768,0.3552,0.278,0.2728,0.284,0.2253,0.234,0.2019,0.315,0.3261,0.303
Germany,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,25.9102,26.326,28.6439,26.8811,26.0674,23.5188,21.093,21.5613,19.8861,17.2352,15.83
Ghana,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.665,0.7125,0.5999,0.6741,0.6741,1.2886,1.0246,1.2021,1.2701,1.2075,1.221
Greece,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.757,2.9733,2.8262,2.5844,2.7205,2.8557,2.8197,2.9818,3.1891,3.2804,2.6309
Greenland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0017,0.0003,0.0008,0.0003,0.0009,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004
Grenada,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0024,0.0026,0.003,0.0029,0.0028,0.0029,0.0031,0.0032,0.0031,0.0027,0.0027
Guadeloupe,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0082,0.009,0.0108,0.0107,0.0103,0.0108,0.0112,0.0114,0.0108,0.0093,0.0093
Guatemala,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.9162,2.859,2.551,2.8314,2.6288,2.7373,2.9853,2.6649,3.3218,2.982,2.3419
Guinea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0845,0.0428,0.0459,0.0379,0.035,0.205,0.1109,0.1109,0.1109,0.1109,0.2802
Guinea-Bissau,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.038,0.0456,0.0455,0.0395,0.0557,0.0699,0.0715,0.0716,0.0712,0.0668,0.0668
Guyana,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1778,0.2608,0.2245,0.3029,0.1747,0.1256,0.3108,0.3359,0.2746,0.3174,0.2098
Haiti,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0882,0.0703,0.1317,0.081,0.0342,0.1045,0.0622,0.263,0.0254,0.0064,0.0072
Honduras,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.1851,1.1741,1.163,1.184,1.5077,1.7313,1.929,1.3536,2.0117,1.6479,1.6479
Hungary,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.9176,5.3892,5.1347,5.3237,6.3481,6.6703,6.6672,6.5356,6.9952,7.1705,5.1144
Iceland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1482,0.1354,0.1696,0.1787,0.1702,0.2053,0.1845,0.1631,0.1793,0.1924,0.1762
India,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,264.3284,263.2159,266.3509,272.9933,262.9849,266.4829,277.0146,296.4327,320.6343,306.2447,317.5276
Indonesia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,46.3106,43.8602,45.7192,44.2923,46.5776,46.3884,50.8685,46.0158,55.6441,57.661,46.9062
Iran (Islamic Republic of),Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.5338,9.8376,11.0237,8.8637,8.8772,9.4694,11.4663,12.8035,14.1929,14.1929,14.1929
Iraq,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.4936,2.5117,1.2598,0.9937,1.6417,2.8433,2.7188,2.8421,3.0434,2.6672,2.6672
Ireland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,5.5478,5.2137,5.2137,5.2008,5.3288,5.8,6.4192,5.7729,5.9639,6.2726,5.393
Israel,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.7087,0.737,0.7291,0.7087,0.7354,0.7606,0.7889,0.6507,0.5207,0.5591,0.4661
Italy,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,9.2871,9.438,9.0203,9.5109,9.4715,9.4167,9.3463,9.4057,9.0283,8.9902,8.9651
Jamaica,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1,0.0755,0.0761,0.0415,0.0492,0.0591,0.0973,0.0751,0.0611,0.0611,0.0587
Japan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,6.2322,5.7671,6.2197,5.643,5.9746,6.0579,5.8049,5.6163,5.577,5.577,5.577
Jordan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.165,0.39,0.2929,0.5425,0.3475,0.3156,0.313,0.3065,0.2394,0.2261,0.2349
Kazakhstan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.6541,0.8759,1.2674,1.4384,1.2575,1.6378,1.2729,0.8571,1.1692,1.2729,1.122
Kenya,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.9681,2.3321,1.92,1.5078,1.9544,2.5204,1.8671,2.193,3.062,2.6992,1.5093
Kiribati,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0,0,0,0,0,0,0,0,0,0.0001,0.0001
Kuwait,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0236,0.0471,0.0519,0.0471,0.0377,0.0409,0.0393,0.0292,0.05,0.05,0.034
Kyrgyzstan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.4228,0.4577,0.5618,0.2009,0.2213,0.1463,0.3921,0.3893,0.4075,0.358,0.3626
Lao People's Democratic Republic,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.4631,0.3289,0.4388,0.4397,0.3939,0.3939,0.531,0.6395,0.574,0.5733,0.6344
Latvia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.0246,1.0952,1.1461,1.1915,1.2302,1.2169,1.1713,1.2684,1.3254,1.3302,1.2934
Lebanon,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2931,0.3138,0.3001,0.2974,0.3262,0.36,0.266,0.2779,0.2697,0.1474,0.1189
Liberia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0491,0.0589,0.0588,0.0503,0.0708,0.089,0.091,0.0911,0.0906,0.085,0.085
Libya,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.5091,0.4903,0.275,0.22,0.2467,0.4054,0.2373,0.2279,0.2153,0.2153,0.2153
Lithuania,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.4043,2.4707,2.5646,2.5585,2.518,2.6266,2.5054,2.8066,2.9194,2.9465,2.054
Luxembourg,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2149,0.21,0.1998,0.2044,0.2158,0.2133,0.1896,0.1993,0.1886,0.1996,0.1197
Madagascar,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2646,0.1613,0.2878,0.2584,0.1467,0.4936,0.4509,0.38,0.3003,0.1502,0.2302
Malawi,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.9181,0.9238,1.8591,1.7196,0.9944,1.3587,1.5155,1.1989,1.9944,1.6278,0.9964
Malaysia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,11.3229,8.7262,9.4577,8.4583,8.2854,7.4944,6.0795,4.3837,5.2239,7.2115,5.5825
Maldives,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0048,0.004,0.0032,0.0036,0.0053,0.0055,0.0064,0.0037,0.0038,0.004,0.0027
Mali,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.93,1.1714,1.4127,1.6541,1.8955,1.6184,1.6184,2.4707,1.6137,0.7179,0.3268
Malta,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0086,0.009,0.0093,0.0097,0.0089,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092
Martinique,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0059,0.0067,0.0072,0.0073,0.0069,0.0062,0.0068,0.0071,0.0074,0.0064,0.0064
Mauritania,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0284,0.0341,0.034,0.0295,0.0416,0.0522,0.0534,0.0599,0.0596,0.0559,0.0559
Mauritius,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1641,0.1193,0.1675,0.1032,0.1423,0.1317,0.1164,0.1223,0.0888,0.0971,0.0874
Mexico,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,20.939,23.2058,22.287,17.446,23.4338,22.8798,20.9289,20.3421,22.4264,20.6726,15.6242
Mongolia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2661,0.3986,0.3006,0.3251,0.3609,0.5606,0.6367,0,0,0.0292,0
Montenegro,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.02,0.0222,0.0208,0.0202,0.0208,0.0164,0.0197,0.023,0.0226,0.021,0.0161
Morocco,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.9132,3.7554,3.6617,3.8224,1.7933,3.9474,3.3236,2.9166,3.5907,3.5907,3.5907
Mozambique,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.3738,0.4185,0.5273,0.2155,0.3016,0.3553,0.4166,0.7263,0.7527,0.8935,0.6074
Myanmar,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.0586,2.9073,3.7091,1.8366,2.3518,4.027,4.2633,5.5525,7.4256,4.9547,1.5234
Namibia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1651,0.1215,0.0609,0.1531,0.3088,0.2961,0.4792,0.2963,0.0429,0.0429,0.1838
Nepal,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.7221,1.2302,1.5198,1.6625,1.6614,1.44,1.9997,1.9091,2.0777,2.0265,1.257
Netherlands (Kingdom of the),Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.63,3.1742,3.4836,3.7929,3.5212,3.5257,3.2811,3.286,3.3283,3.2417,2.9847
New Caledonia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0121,0.0078,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088
New Zealand,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,5.7043,5.8143,6.3643,6.7414,6.7886,6.9614,7.1971,7.1029,7.3857,6.93,6.6
Nicaragua,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.0274,0.5703,0.7946,0.8781,0.9343,1.2201,0.7591,0.8481,1.0553,0.9769,0.8014
Niger,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2013,0.1119,0.198,0.1056,0.1012,0.1012,0.1733,0.196,0.0958,0.0958,0.0976
Nigeria,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.0266,4.2354,3.8052,3.0816,4.5374,7.1186,6.8577,6.3622,9.297,6.7059,1.9186
Niue,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0,0,0,0
North Macedonia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.263,0.3035,0.321,0.3043,0.3539,0.3299,0.2815,0.2769,0.3683,0.2291,0.2231
Norway,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.4844,1.5011,1.559,1.6123,1.6101,1.5663,1.609,1.6771,1.6639,1.6838,1.646
Oman,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1572,0.1764,0.1352,0.1466,0.1401,0.1382,0.1616,0.1446,0.1446,0.1807,0.1952
Pakistan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,44.7978,50.9073,49.3313,49.6651,50.9443,54.1659,54.1659,55.0842,55.5309,58.3785,57.6212
Palau,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001
Palestine,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0961,0.1093,0.1102,0.1118,0.1468,0.1462,0.134,0.1294,0.1352,0.1035,0.1035
Panama,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.3569,0.4193,0.2507,0.2512,0.15,0.1886,0.2797,0.2816,0.4769,0.6028,0.3533
Papua New Guinea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2535,0.2598,0.2675,0.3249,0.3301,0.4142,0.4489,0.4518,0.4151,0.3914,0.4789
Paraguay,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.5333,1.8138,2.1139,1.9181,1.8894,2.1026,2.0916,1.9293,2.2234,2.4661,1.8072
Peru,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.1854,3.9758,3.9257,4.4335,4.5465,5.1868,3.8664,5.1845,4.9006,5.2043,4.4005
Philippines,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,7.3857,8.2886,9.3585,8.28,9.8707,11.9631,10.2092,11.1504,11.7928,11.2499,12.556
Poland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,18.5287,17.2606,15.7709,16.39,18.0809,18.524,15.6216,16.2407,14.3314,14.3314,14.3314
Portugal,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.6793,1.7387,2.0427,1.8528,1.7041,1.612,1.5929,1.6876,1.6213,1.4643,0.9059
Puerto Rico,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0284,0.0303,0.0333,0.0313,0.0286,0.029,0.0289,0.0301,0.0291,0.0251,0.0251
Qatar,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0157,0.0251,0.022,0.0189,0.0189,0.022,0.018,0.0233,0.0253,0.0245,0.0245
Republic of Korea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.6466,3.5192,3.4738,3.3332,3.3722,3.2919,3.3965,3.3264,3.6025,3.335,3.8072
