Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Guatemala,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.3878,1.8943,2.2336,2.8365,2.9162,2.859,2.551,2.8314,2.6288,2.7373,2.9853,2.6649,3.3218,2.982,2.3419
Guinea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0439,0.0198,0.0397,0.0801,0.0845,0.0428,0.0459,0.0379,0.035,0.205,0.1109,0.1109,0.1109,0.1109,0.2802
Guinea-Bissau,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0231,0.0242,0.0443,0.0281,0.038,0.0456,0.0455,0.0395,0.0557,0.0699,0.0715,0.0716,0.0712,0.0668,0.0668
Guyana,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.287,0.1053,0.2221,0.1001,0.1778,0.2608,0.2245,0.3029,0.1747,0.1256,0.3108,0.3359,0.2746,0.3174,0.2098
Haiti,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0778,0.0011,0.0045,11.48446649,0.0882,0.0703,0.1317,0.081,0.0342,0.1045,0.0622,0.263,0.0254,0.0064,0.0072
Honduras,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.873,0.7483,0.8807,1.3442,1.1851,1.1741,1.163,1.184,1.5077,1.7313,1.929,1.3536,2.0117,1.6479,1.6479
Hungary,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.98,4.2752,4.2833,4.7684,4.9176,5.3892,5.1347,5.3237,6.3481,6.6703,6.6672,6.5356,6.9952,7.1705,5.1144
Iceland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2408,0.1184,0.1193,0.1362,0.1482,0.1354,0.1696,0.1787,0.1702,0.2053,0.1845,0.1631,0.1793,0.1924,0.1762
India,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,233.5742,244.4887,258.5103,272.9185,264.3284,263.2159,266.3509,272.9933,262.9849,266.4829,277.0146,296.4327,320.6343,306.2447,317.5276
Indonesia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,42.4287,46.1336,43.7576,46.1029,46.3106,43.8602,45.7192,44.2923,46.5776,46.3884,50.8685,46.0158,55.6441,57.661,46.9062
Iran (Islamic Republic of),Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,18.7561,16.2475,14.8297,8.7844,10.5338,9.8376,11.0237,8.8637,8.8772,9.4694,11.4663,12.8035,14.1929,14.1929,14.1929
Iraq,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.579,2.7004,1.6968,2.1739,2.4936,2.5117,1.2598,0.9937,1.6417,2.8433,2.7188,2.8421,3.0434,2.6672,2.6672
Ireland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.8212,5.6948,4.9288,4.6599,5.5478,5.2137,5.2137,5.2008,5.3288,5.8,6.4192,5.7729,5.9639,6.2726,5.393
Israel,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.7213,0.5673,0.4746,0.704,0.7087,0.737,0.7291,0.7087,0.7354,0.7606,0.7889,0.6507,0.5207,0.5591,0.4661
Italy,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.5327,8.0847,7.8352,8.1171,9.2871,9.438,9.0203,9.5109,9.4715,9.4167,9.3463,9.4057,9.0283,8.9902,8.9651
Jamaica,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0692,0.0708,0.0758,0.0743,0.1,0.0755,0.0761,0.0415,0.0492,0.0591,0.0973,0.0751,0.0611,0.0611,0.0587
Japan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,5.6556,5.4995,6.4334,6.0817,6.2322,5.7671,6.2197,5.643,5.9746,6.0579,5.8049,5.6163,5.577,5.577,5.577
Jordan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1226,0.1289,0.1603,0.1603,0.165,0.39,0.2929,0.5425,0.3475,0.3156,0.313,0.3065,0.2394,0.2261,0.2349
Kazakhstan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2561,0.4636,0.6396,0.7468,1.6541,0.8759,1.2674,1.4384,1.2575,1.6378,1.2729,0.8571,1.1692,1.2729,1.122
Kenya,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.1483,1.2225,1.2401,1.6041,1.9681,2.3321,1.92,1.5078,1.9544,2.5204,1.8671,2.193,3.062,2.6992,1.5093
Kuwait,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0157,0.0157,0.0157,0.0157,0.0236,0.0471,0.0519,0.0471,0.0377,0.0409,0.0393,0.0292,0.05,0.05,0.034
Kyrgyzstan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.354,0.4068,0.4041,0.3527,0.4228,0.4577,0.5618,0.2009,0.2213,0.1463,0.3921,0.3893,0.4075,0.358,0.3626
