Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Sierra Leone,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0658,0.073,0.1395,11.48446649,0.1132,0.1451,0.1448,0.1256,0.177,0.2223,0.2273,0.0389,0.0389,0.0389,0.0389
Singapore,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0006,0.0006,0.0007,0.0007,0.0006,0.0007,0.0007,0.0007
Slovakia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.2109,1.3651,1.4609,1.5872,1.7848,1.7848,1.8706,1.8036,1.9837,1.9256,2.0268,2.0198,2.0063,2.0035,1.8126
Slovenia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.391,0.4254,0.4294,0.4243,0.4133,0.4284,0.4496,0.445,0.4258,0.4256,0.4289,0.4407,0.4399,0.458,0.4373
Somalia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0,0.0052,0.0016,0.0001,0.0001,0.0003,0.001,0.0007,0.0092,0.0143,0.0069,0.0097,0.0262,0.0194,0.0019
South Africa,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,6.6648,6.5057,6.2071,6.5843,6.6786,6.3486,6.2071,5.61,5.1386,7.3857,7.9818,8.4104,9.2462,9.723,8.512
South Sudan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,10.27622798,10.65922124,11.48446649,0,10.829513,0.0002,0.0009,0.0011,0.001,0.0015,0.0013,0.0017,0.0039,0
Spain,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,11.6248,12.2739,14.7887,13.3053,13.2536,15.1094,17.3155,16.7845,15.4339,16.9608,16.2406,15.8911,16.6461,16.1825,11.6926
Sri Lanka,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.2905,2.8558,2.6101,3.2903,2.5814,2.0075,3.5805,2.3581,1.8508,1.7243,1.0816,2.258,3.7603,1.8736,1.8736
Sudan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,10.27622798,10.65922124,11.48446649,0.4513,0.7173,0.637,1.2088,2.8104,2.5758,1.8932,1.8932,3.9237,1.8932,1.8929
Suriname,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2271,0.1188,0.1547,0.1452,0.0953,0.1017,0.1491,0.1132,0.191,0.1951,0.1102,0.1017,0.2122,0.134,0.1188
Sweden,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.9307,2.2377,2.6273,2.6941,2.3272,2.5308,2.8457,2.9893,2.9235,3.1187,2.8944,2.8704,3.3813,3.0643,2.9056
Switzerland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.8312,0.8023,0.7987,0.7315,0.6183,0.7673,0.7724,0.7815,0.826,0.7631,0.7001,0.5995,0.6777,0.6845,10.68736513
Syrian Arab Republic,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.2461,3.3057,1.8728,2.0895,1.7555,0.3949,0.4549,0.0376,0.2791,0.1175,0.3244,0.3868,0.3769,0.2034,0.2863
Tajikistan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1231,0.0947,0.0947,0.0662,0.0972,0.1105,0.1945,0.2583,0.1247,0.1247,0.1247,1.1015,1.1186,1.1154,1.1822
Thailand,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,18.8183,23.5312,25.254,24.9735,25.4558,25.8478,24.2542,19.8936,23.2818,27.1345,22.357,19.8042,22.8117,22.2855,18.1047
Timor-Leste,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,0.0001,0.0001,11.48446649,0.0014,0.0013,0.0001,0.0024,0.0012,0.0004,0.0007,0.002,0.0011,0.0012,0.0013
Togo,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0,0,0.145,0.2092,0.1078,0.146,0.0273,0.0153,0.194,0.0671,0.3254,0.055,0.055,0.0165,0.372
Tonga,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0017,0.0017,0.0002,0.0001,0.0008,0.0011,0.0007,0.0009,0.0015,0.0018,0.001,0.0013,0.0013,0.0015,0.0009
Trinidad and Tobago,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.077,0.0817,0.0801,0.0786,0.0943,0.0943,0.1021,0.1021,0.1021,0.1006,0.1021,0.0214,0.0206,0.0178,10.68736513
Tunisia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.1566,1.2257,1.2571,1.2886,1.3357,0.9256,1.0167,1.1644,1.551,1.2021,1.3499,1.2264,1.1038,1.8312,1.4731
TÃ¼rkiye,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,17.8054,24.0363,22.4355,19.7852,22.4968,24.8894,23.4589,23.3604,29.8018,27.73,24.005,26.4401,32.2565,28.0869,24.8189
Turkmenistan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.9286,3.9757,4.0071,4.0071,4.0857,5.9699,6.2983,7.6214,6.534,6.1757,6.5214,5.6389,7.6605,6.2712,8.0233
Tuvalu,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0
Uganda,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1673,0.1107,0.1,0.1196,0.1265,0.1508,0.1043,0.0327,0.1342,0.1196,0.1761,0.1878,0.1214,0.1214,0.1484
Ukraine,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,11.5623,9.9772,12.1724,14.1253,14.6159,16.3886,16.0468,15.4779,18.816,21.4549,22.0772,23.0615,26.967,27.8122,19.0822
United Arab Emirates,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.5178,0.3588,0.4094,0.3949,0.3082,0.2648,0.1957,0.238,0.1962,0.1644,0.1503,0.1586,0.189,0.1789,0.1789
United Kingdom of Great Britain and Northern Ireland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,15.73,14.8971,15.9657,16.06,15.7143,15.6986,16.6571,16.4843,16.1229,16.3586,16.2329,16.3114,15.1957,15.9343,13.5457
United Republic of Tanzania,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.6824,1.0519,1.0431,1.0641,0.8883,1.7,1.3202,1.2024,1.6903,1.6659,2.2237,1.229,2.6927,1.3969,2.6028
United States of America,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,163.391,174.3907,182.6747,192.2061,192.4855,189.5275,185.4632,185.8903,182.9902,181.998,186.8636,184.8027,187.4079,184.2158,179.5538
Uruguay,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.4549,1.6533,2.3803,2.2179,3.4107,3.2718,2.7665,1.8139,2.4605,2.4434,2.5181,2.706,3.2066,3.5862,3.339
Uzbekistan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,8.9871,9.5505,9.943,10.3354,9.9686,10.6192,10.9852,11.149,11.335,11.335,10.5552,12.7768,12.865,15.847,13.0569
Venezuela (Bolivarian Republic of),Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.8581,4.3588,4.6722,4.4032,4.0141,3.7792,3.6874,3.683,3.5656,3.4949,2.2361,1.7785,1.7524,1.8075,1.8075
Viet Nam,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,11.4189,24.3998,18.7968,15.5488,18.6368,25.5873,21.4325,26.648,24.3402,24.5654,24.7159,24.7159,24.7159,24.7159,27.731
Yemen,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2675,0.2169,0.3759,0.2169,0.2108,0.4211,0.3701,0.0146,0.2944,0.2074,0.0201,0.1462,0.1135,0.0368,0.0834
Zambia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.8362,1.008,1.2197,1.8305,1.561,2.2117,2.1683,2.6006,2.956,3.3108,2.3256,2.6343,3.013,2.8071,2.7015
Zimbabwe,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.7629,1.0393,1.1079,0.936,0.6443,0.814,0.7857,0.6694,0.913,1.0214,0.7873,0.7873,0.6176,0.6176,0.6176
