Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Martinique,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0046,0.0036,0.0063,0.0058,0.0059,0.0067,0.0072,0.0073,0.0069,0.0062,0.0068,0.0071,0.0074,0.0064,0.0064
Mauritania,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0179,0.0183,0.0372,0.021,0.0284,0.0341,0.034,0.0295,0.0416,0.0522,0.0534,0.0599,0.0596,0.0559,0.0559
Mauritius,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1147,0.1093,0.0805,0.1217,0.1641,0.1193,0.1675,0.1032,0.1423,0.1317,0.1164,0.1223,0.0888,0.0971,0.0874
Mexico,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,14.7632,16.3219,16.8874,21.4093,20.939,23.2058,22.287,17.446,23.4338,22.8798,20.9289,20.3421,22.4264,20.6726,15.6242
Mongolia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1088,0.1182,0.1733,0.2189,0.2661,0.3986,0.3006,0.3251,0.3609,0.5606,0.6367,0,0,0.0292,0
Montenegro,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0207,0.0171,0.0214,0.0183,0.02,0.0222,0.0208,0.0202,0.0208,0.0164,0.0197,0.023,0.0226,0.021,0.0161
Morocco,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.3224,3.0792,3.4617,3.4797,2.9132,3.7554,3.6617,3.8224,1.7933,3.9474,3.3236,2.9166,3.5907,3.5907,3.5907
Mozambique,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.6578,0.2378,0.6818,0.5121,0.3738,0.4185,0.5273,0.2155,0.3016,0.3553,0.4166,0.7263,0.7527,0.8935,0.6074
Myanmar,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.978,0.9067,0.8061,1.8239,2.0586,2.9073,3.7091,1.8366,2.3518,4.027,4.2633,5.5525,7.4256,4.9547,1.5234
Namibia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0033,0.0199,0.0448,0.0765,0.1651,0.1215,0.0609,0.1531,0.3088,0.2961,0.4792,0.2963,0.0429,0.0429,0.1838
Nepal,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0438,0.4452,0.678,0.8607,0.7221,1.2302,1.5198,1.6625,1.6614,1.44,1.9997,1.9091,2.0777,2.0265,1.257
Netherlands,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.6309,3.523,3.4251,3.3363,3.63,3.1742,3.4836,3.7929,3.5212,3.5257,3.2811,3.286,3.3283,3.2417,2.9847
New Caledonia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0085,0.0056,0.0088,0.0108,0.0121,0.0078,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088
New Zealand,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,5.1543,4.6671,5.3586,5.7671,5.7043,5.8143,6.3643,6.7414,6.7886,6.9614,7.1971,7.1029,7.3857,6.93,6.6
Nicaragua,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.5361,0.7431,0.6264,0.864,1.0274,0.5703,0.7946,0.8781,0.9343,1.2201,0.7591,0.8481,1.0553,0.9769,0.8014
Niger,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0245,0.0519,0.0759,0.0599,0.2013,0.1119,0.198,0.1056,0.1012,0.1012,0.1733,0.196,0.0958,0.0958,0.0976
Nigeria,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.9648,1.565,4.1352,2.1753,3.0266,4.2354,3.8052,3.0816,4.5374,7.1186,6.8577,6.3622,9.297,6.7059,1.9186
Niue,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0004,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0,0,0,0
North Macedonia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2464,0.2736,0.3055,0.2851,0.263,0.3035,0.321,0.3043,0.3539,0.3299,0.2815,0.2769,0.3683,0.2291,0.2231
Norway,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.6925,1.4574,1.3415,1.5086,1.4844,1.5011,1.559,1.6123,1.6101,1.5663,1.609,1.6771,1.6639,1.6838,1.646
Oman,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1785,0.1323,0.1513,0.1488,0.1572,0.1764,0.1352,0.1466,0.1401,0.1382,0.1616,0.1446,0.1446,0.1807,0.1952
Pakistan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,46.0123,54.2441,51.3941,50.0868,44.7978,50.9073,49.3313,49.6651,50.9443,54.1659,54.1659,55.0842,55.5309,58.3785,57.6212
Palau,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,10.27622798,10.65922124,11.48446649,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001
Palestine,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1389,0.1228,0.0703,0.0768,0.0961,0.1093,0.1102,0.1118,0.1468,0.1462,0.134,0.1294,0.1352,0.1035,0.1035
Panama,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2428,0.2718,0.3394,0.2068,0.3569,0.4193,0.2507,0.2512,0.15,0.1886,0.2797,0.2816,0.4769,0.6028,0.3533
Papua New Guinea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2152,0.2987,0.2509,0.1817,0.2535,0.2598,0.2675,0.3249,0.3301,0.4142,0.4489,0.4518,0.4151,0.3914,0.4789
Paraguay,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.9238,0.9257,1.2825,1.5806,1.5333,1.8138,2.1139,1.9181,1.8894,2.1026,2.0916,1.9293,2.2234,2.4661,1.8072
Peru,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.191,4.1153,3.511,3.9481,4.1854,3.9758,3.9257,4.4335,4.5465,5.1868,3.8664,5.1845,4.9006,5.2043,4.4005
Philippines,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,6.3061,6.7279,9.3221,8.147,7.3857,8.2886,9.3585,8.28,9.8707,11.9631,10.2092,11.1504,11.7928,11.2499,12.556
Poland,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,17.2134,16.0867,17.1459,17.2024,18.5287,17.2606,15.7709,16.39,18.0809,18.524,15.6216,16.2407,14.3314,14.3314,14.3314
Portugal,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.6521,1.5289,1.5753,1.4942,1.6793,1.7387,2.0427,1.8528,1.7041,1.612,1.5929,1.6876,1.6213,1.4643,0.9059
Puerto Rico,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0191,0.0159,0.0288,0.0276,0.0284,0.0303,0.0333,0.0313,0.0286,0.029,0.0289,0.0301,0.0291,0.0251,0.0251
Qatar,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0157,0.0157,0.0157,0.0157,0.0157,0.0251,0.022,0.0189,0.0189,0.022,0.018,0.0233,0.0253,0.0245,0.0245
Republic of Korea,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.5023,3.5513,3.3837,3.4789,3.6466,3.5192,3.4738,3.3332,3.3722,3.2919,3.3965,3.3264,3.6025,3.335,3.8072
Republic of Moldova,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.3131,0.2291,0.257,0.3018,0.4227,0.5343,0.631,0.5334,0.7217,0.7268,1.0018,0.7747,0.8344,0.8695,0.7427
R̩union,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0046,0.0044,0.0053,0.0056,0.0059,0.0064,0.007,0.0064,0.0077,0.0088,0.0085,0.0073,0.0105,0.0096,0.0096
