Area,Item,Element,Unit,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Azerbaijan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.4662,0.3029,0.2013,0.3538,0.4328,0.399,0.5965,1.4101,1.3606,1.1265,1.869,1.0932,1.378,0.5547,0.2591
Bahamas,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,10.27622798,10.65922124,11.48446649,0.0109,0.0077,0.0087,0.0104,0.0201,0.0256,0.0313,0.0099,0.0071,0.0071,10.68736513
Bahrain,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0359,0.0192,0.04,0.028,0.028,0.028,0.028,0.028,0.0022,0.0017,0.0019,0.0024,0.0024,0.0024,0.001
Bangladesh,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,20.2243,18.1679,18.3356,20.0329,17.7537,17.4702,19.3327,20.7576,18.4219,19.4926,20.9091,20.8648,21.4007,24.0158,23.7201
Barbados,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0239,0.0066,0.0068,0.0124,0.0185,0.0192,0.0105,0.0064,0.0044,0.0085,0.0036,0.0023,0.0028,0.0017,0.0029
Belarus,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,8.2264,8.6994,8.327,9.4459,8.7577,8.4046,7.1668,6.9736,5.4766,6.3933,6.3626,6.3993,7.2578,6.7251,7.2705
Belgium,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.1477,2.4454,2.6908,2.6173,2.598,2.6308,2.764,2.7845,2.5282,2.3958,2.3944,2.4098,2.3552,2.4487,10.68736513
Belize,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0262,0.0921,0.0358,0.0896,0.0958,0.2151,0.2795,0.2766,0.2642,0.2134,0.2536,0.2599,0.2614,0.2669,0.1062
Benin,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0056,0.091,0.1898,0.0649,0.1404,0.079,0.232,0.0029,0.2229,0.0007,0.7553,1.184,0.8849,0.9041,1.0557
Bermuda,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,10.27622798,10.65922124,11.48446649,10.6790175,0.0008,0.0007,0.0006,0.0003,0.0006,0.0012,0.0007,0.0008,0.0005,10.68736513
Bhutan,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0122,0.0253,0.0108,0.0133,0.0122,0.0119,0.014,0.0145,0.0134,0.0124,0.0237,0.0126,0.0126,0.0126,0.007
Bolivia (Plurinational State of),Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2117,0.2173,0.2823,0.321,0.3028,0.3777,0.3743,0.3633,0.313,0.321,0.2893,0.2293,0.3547,0.4188,0.2687
Bosnia and Herzegovina,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.665,0.9985,0.9633,1.3224,1.5942,1.3361,1.6453,1.7622,1.3605,1.4011,1.0914,0.6589,0.9692,0.738,0.7535
Botswana,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,0.2142,0.3133,0.1329,0.2381,0.3454,0.3325,0.2062,0.1681,0.0878,0.1987,0.1571,0.2144,0.2056,0.2499
Brazil,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,44.3419,38.1886,48.5801,60.0752,54.3097,63.9171,71.1822,55.0348,57.0748,71.6024,72.1905,77.1845,92.885,105.2937,106.4653
Brunei Darussalam,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.002,0.0027,0.0095,0.0041,0.0046,0.0011,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
Bulgaria,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.356,4.3742,4.2449,5.8302,3.85,4.5946,4.6607,5.1786,5.7501,5.5176,5.3323,5.5391,5.7253,5.3883,10.68736513
Burkina Faso,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.4806,0.4462,0.6462,0.4668,0.7468,0.7964,0.7669,0.8028,1.0629,0.916,0.8903,0.4722,0.793,0.6698,0.8519
Burundi,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0157,0.0165,0.0305,0.042,0.0498,0.0619,0.0882,0.0726,0.1271,0.1595,0.2115,0.1082,0.1082,0.1082,0.1082
Cabo Verde,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,10.2393127,10.27622798,10.65922124,11.48446649,10.6790175,10.829513,10.87641393,0.0019,0.0021,0.0025,0.0028,0.0028,0.0042,0.0059,0.0048
Cambodia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1975,0.2733,0.356,0.5734,0.8617,0.7927,1.0071,1.2706,0.8745,1.8071,2.0084,1.7619,1.7311,1.9127,1.3307
Cameroon,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.3598,0.3975,0.4,0.5811,0.442,0.5833,0.4087,0.67,0.6248,0.7302,0.6604,0.6604,0.6604,0.6604,0.719
Canada,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,30.0024,30.0858,32.2341,39.1362,43.807,38.6729,39.9614,40.5586,38.6729,38.83,43.5129,40.3386,47.8657,44.4714,43.23
Central African Republic,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0028,0.003,0.0035,0.0063,0.0036,0.0018,0,0.0034,0.0033,0.0014,0.0034,0.0033,0.0035,0.0035,0.0003
Chad,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.1056,0.111,0.1271,0.0348,0.0348,0.0413,0.0757,0.0476,0.0476,0.0476,0.1113,0.2215,0.2248,0.2097,0.2097
Chile,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.9409,3.2124,4.0632,4.008,3.9754,4.3077,4.1538,4.8055,3.847,3.8853,3.7304,3.9426,3.8961,4.3218,3.0918
China,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,448.8167,457.7755,466.7741,476.0899,483.9968,486.5579,489.3486,486.3453,479.9697,466.5887,444.494,422.2978,406.7655,396.4564,385.9782
"China, Hong Kong SAR",Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0158,0.016,0.0147,0.015,0.0139,0.014,0.0141,0.014,0.0135,0.0135,0.0126,0.0108,0.0078,0.0075,0.0075
"China, mainland",Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,446.1411,455.1067,464.0715,473.489,481.3616,484.0111,486.8548,483.9289,477.5246,464.2784,442.2231,420.1633,404.516,394.4233,384.0166
"China, Taiwan Province of",Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,2.6598,2.6528,2.6879,2.5859,2.6213,2.5328,2.4797,2.4024,2.4316,2.2968,2.2583,2.1237,2.2417,2.0256,1.9541
Colombia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,5.3255,5.7761,6.3555,6.9559,6.6313,6.0946,7.2782,7.3627,6.8064,8.3673,7.7052,7.261,8.2973,7.6909,6.2635
Comoros,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0002,0.0001,0.0001,11.48446649,0.0001,0,0,0,0.0003,0,0.0001,0.0006,0.0024,0.0013,0.0015
Congo,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.004,0.0143,0.0017,0.0044,0.0107,0.01,0.0046,0.01,0.005,0.0052,0.0079,0.0129,0.0485,0.0341,0.0423
Cook Islands,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0003,0.0003,0.0001,0.0001,0.0002,0.0001,0.0001,0.0004,0.0005,0.0002,0.0002,0.0002,0.0003,0.0002,0
Costa Rica,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,1.2813,0.713,0.9618,1.4867,1.3808,1.4139,1.2245,1.3385,1.5548,1.426,1.5119,1.4658,1.4885,1.2789,1.1017
C̫te d'Ivoire,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.2767,0.3362,0.4199,0.3966,0.5112,0.5257,0.6944,0.6613,0.7327,0.4644,0.495,0.973,0.6741,0.826,0.8034
Croatia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,4.1396,1.4649,1.8449,2.1976,1.6796,1.2245,1.1578,1.3739,1.1365,1.5465,1.5623,1.5258,1.5551,1.6058,1.3896
Cuba,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.522,0.2145,0.8955,0.8878,0.9375,1.1089,1.2318,0.9803,0.7675,0.8292,0.6289,0.6289,0.6289,0.6289,0.2371
Cyprus,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,0.0752,0.1105,0.1326,0.1164,0.1381,0.1097,0.0981,0.1248,0.1252,0.1252,0.1221,0.1284,0.1269,0.103,0.0907
Czechia,Synthetic Fertilizers,Direct emissions (N2O),kt,FAO TIER 1,3.4833,3.5511,3.7487,3.8975,5.3374,5.2171,5.1641,6.2407,6.3515,5.7521,5.528,5.2176,4.4854,4.8659,5.1058
