Area,Item,Unit,Element,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Sri Lanka,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3145.3324,2815.0164,3167.3376,3259.0096,3186.036,3548.6024,2631.5828,3617.306,3409.1764,2364.7764,3109.372,2860.3764,3185.3892,3365.2136,3328.2984
Sudan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,6732.067885,6707.363393,6883.785653,6857.713823,29.6352,29.6436,61.222,29.6352,27.9888,46.0992,44.5704,45.2368,45.9144,37.3968,42.1512
Suriname,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,342.2468,427.2184,419.8544,446.3312,402.8108,456.8676,487.7348,464.5032,491.6688,464.9428,440.9832,471.8504,453.4488,445.7908,438.5584
Tajikistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,63.1512,89.6028,91.4172,81.312,81.0964,72.1224,68.362,72.4304,84.1792,77.0952,72.772,76.2776,79.3912,80.0072,77.3444
Thailand,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,47843.1548,49893.718,53435.41,53544.3132,53544.9516,52324.79,47759.7428,43519.112,47970.5632,48005.0368,47683.6948,43942.9256,49010.1752,49997.6484,51428.7844
Timor-Leste,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,235.6396,201.3676,188.7172,183.6212,216.2692,144.5696,147.0672,118.8488,99.4028,118.5492,87.78,115.2928,97.6528,138.3424,159.6168
Togo,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,11.4436,14.3332,14.8652,14.0224,30.1784,28.9268,26.3088,25.5892,26.0008,26.4656,27.2216,28.1232,29.7584,30.7748,31.346
Trinidad and Tobago,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7.6972,6.8908,6.9916,8.2376,8.5372,8.8452,11.7124,11.7152,7.336,5.0092,1.904,2.268,2.702,1.2936,0.4564
TÃ¼rkiye,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,780.024,756.1204,775.894,779.1616,938.1652,867.0424,869.2992,908.3116,909.8796,858.5192,941.8752,991.1244,983.1192,1015.0868,944.8068
Turkmenistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,171.7072,114.4724,110.7792,92.932,444.9032,312.9756,255.5448,202.0172,119.378,118.9692,119.4116,129.92,125.4372,119.84,119.266
Uganda,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,250.88,168.56,170.52,176.4,180.32,182.28,186.2,186.7432,164.2872,140.14,145.3788,120.75,265.762,509.9556,509.6
Ukraine,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,155.232,192.08,229.712,232.064,202.272,189.728,79.968,91.728,94.08,99.568,98.784,82.32,87.808,79.184,5.488
United Republic of Tanzania,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3862.3872,3505.4572,4944.226,4870.4012,3478.1796,4039.1008,4165.0476,5023.3176,5386.7856,4774.4984,4494.364,4579.8424,5961.144,5879.342,4342.4976
United States of America,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,11802.728,12306.35,14336.91,10378.886,10624.768,9791.964,11632.208,10212.384,12282.536,9415.154,11540.97,9823.716,11842.32,9855.37,8614.102
Uruguay,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1320.0768,1259.888,1269.296,1536.64,1421.9492,1352.4,1312.416,1259.888,1263.7604,1289.344,1273.216,1136.8,1099.952,1092.112,1152.48
Uzbekistan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,208.0176,268.3324,425.8856,142.1672,469.5796,276.332,300.3336,433.8852,441.8428,438.7404,259.3528,399.5628,291.872,300.8432,285.082
