Area,Item,Unit,Element,Source,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
China,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,151198.8464,152396.0088,152672.9624,152668.1128,152593.2324,152603.3656,149844.4416,147380.9876,149256.6656,148283.3072,146042.442
"China, mainland",Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5352.4999,5393.5446,5403.2745,5406.5939,5399.92,5400.129,5302.1731,5214.4547,5282.9504,5255.0604,5172.3035
"China, mainland",Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,149869.9972,151019.2488,151291.686,151384.6292,151197.76,151203.612,148460.8468,146004.7316,147922.6112,147141.6912,144824.498
"China, Taiwan Province of",Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,47.4589,49.17,49.3313,45.8387,49.8383,49.9912,49.4141,49.152,47.6448,40.772,43.498
"China, Taiwan Province of",Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1328.8492,1376.76,1381.2764,1283.4836,1395.4724,1399.7536,1383.5948,1376.256,1334.0544,1141.616,1217.944
Colombia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,99.7668,110.1682,95.5814,105.009,126.5163,137.2493,122.248,122.4552,135.9232,137.7466,119.9481
Colombia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2793.4704,3084.7096,2676.2792,2940.252,3542.4564,3842.9804,3422.944,3428.7456,3805.8496,3856.9048,3358.5468
Comoros,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.002,0.0028,0.0094,0.0085,0.0075,0.0066,0.0066,0.0047,0.0047,0.0037,0.0047
Comoros,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.056,0.0784,0.2632,0.238,0.21,0.1848,0.1848,0.1316,0.1316,0.1036,0.1316
Congo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.1378,0.1382,0.1402,0.1426,0.1456,0.1442,0.1409,0.134,0.1282,0.1198,0.1203
Congo,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3.8584,3.8696,3.9256,3.9928,4.0768,4.0376,3.9452,3.752,3.5896,3.3544,3.3684
Costa Rica,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.5827,1.8591,1.2862,1.3691,1.35,1.0732,1.083,0.9739,1.049,1.0981,0.7608
Costa Rica,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,44.3156,52.0548,36.0136,38.3348,37.8,30.0496,30.324,27.2692,29.372,30.7468,21.3024
C̫te d'Ivoire,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,20.2628,24.0501,25.1078,25.7596,23.8231,24.1273,22.4276,20.4826,16.1314,17.7725,21.0039
C̫te d'Ivoire,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,567.3584,673.4028,703.0184,721.2688,667.0468,675.5644,627.9728,573.5128,451.6792,497.63,588.1092
Cuba,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,56.7582,55.3904,48.0402,31.4065,39.2045,31.4597,37.4406,32.7905,20.8869,18.625,14.8441
Cuba,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1589.2296,1550.9312,1345.1256,879.382,1097.726,880.8716,1048.3368,918.134,584.8332,521.5,415.6348
Democratic People's Republic of Korea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,100.2354,97.3868,93.4699,82.8233,83.4424,84.5961,83.9432,82.937,83.7303,90.3498,87.3436
Democratic People's Republic of Korea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2806.5912,2726.8304,2617.1572,2319.0524,2336.3872,2368.6908,2350.4096,2322.236,2344.4484,2529.7944,2445.6208
Democratic Republic of the Congo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,20.2773,25.4389,31.9918,32.0527,33.0354,34.3012,33.9979,33.8604,31.416,33.8005,44.9456
Democratic Republic of the Congo,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,567.7644,712.2892,895.7704,897.4756,924.9912,960.4336,951.9412,948.0912,879.648,946.414,1258.4768
Dominican Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,44.1519,44.0056,44.7703,43.7457,45.0527,47.8523,52.8506,49.0428,50.2642,52.4635,54.2861
Dominican Republic,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1236.2532,1232.1568,1253.5684,1224.8796,1261.4756,1339.8644,1479.8168,1373.1984,1407.3976,1468.978,1520.0108
Ecuador,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,77.952,83.328,74.361,78.771,76.902,75.201,62.643,54.033,65.709,71.463,70.938
Ecuador,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2182.656,2333.184,2082.108,2205.588,2153.256,2105.628,1754.004,1512.924,1839.852,2000.964,1986.264
Egypt,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,173.6798,167.1877,160.6371,143.0388,159.2326,153.9127,101.101,153.5929,139.8211,129.9838,180.9684
Egypt,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4863.0344,4681.2556,4497.8388,4005.0864,4458.5128,4309.5556,2830.828,4300.6012,3914.9908,3639.5464,5067.1152
El Salvador,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.124,0.1648,0.1988,0.1697,0.1116,0.1254,0.0996,0.0968,0.0898,0.0794,0.0942
El Salvador,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3.472,4.6144,5.5664,4.7516,3.1248,3.5112,2.7888,2.7104,2.5144,2.2232,2.6376
Eswatini,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0159,0.017,0.0182,0.0188,0.0192,0.0213,0.0229,0.0221,0.0216,0.0218,0.022
Eswatini,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.4452,0.476,0.5096,0.5264,0.5376,0.5964,0.6412,0.6188,0.6048,0.6104,0.616
Ethiopia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.8535,4.7348,6.5565,6.3636,6.7785,7.435,8.8707,8.0606,8.7571,8.4,8.4
Ethiopia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,163.898,132.5744,183.582,178.1808,189.798,208.18,248.3796,225.6968,245.1988,235.2,235.2
Fiji,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2668,0.301,0.1748,0.2954,0.4036,0.4238,0.329,0.2682,0.3283,0.3579,0.4568
Fiji,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7.4704,8.428,4.8944,8.2712,11.3008,11.8664,9.212,7.5096,9.1924,10.0212,12.7904
France,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,11.1787,10.336,8.4526,8.1482,8.4234,8.6421,6.6931,7.6104,7.2173,6.0631,5.927
France,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,313.0036,289.408,236.6728,228.1496,235.8552,241.9788,187.4068,213.0912,202.0844,169.7668,165.956
Gabon,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0434,0.0434,0.0419,0.0416,0.042,0.0426,0.0438,0.0437,0.043,0.0433,0.0435
Gabon,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1.2152,1.2152,1.1732,1.1648,1.176,1.1928,1.2264,1.2236,1.204,1.2124,1.218
Gambia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,16.0252,16.7278,16.7041,21.4691,16.6068,16.5952,11.3937,16.38,15.3753,8.973,11.6974
Gambia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,448.7056,468.3784,467.7148,601.1348,464.9904,464.6656,319.0236,458.64,430.5084,251.244,327.5272
Ghana,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,12.7363,14.5088,15.0528,15.6757,16.3872,17.2658,13.8432,18.9504,19.5552,23.9904,20.496
Ghana,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,356.6164,406.2464,421.4784,438.9196,458.8416,483.4424,387.6096,530.6112,547.5456,671.7312,573.888
Greece,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,15.5157,14.1625,13.6557,14.6375,16.2037,15.5741,15.2964,15.0494,18.1894,17.5846,14.5051
Greece,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,434.4396,396.55,382.3596,409.85,453.7036,436.0748,428.2992,421.3832,509.3032,492.3688,406.1428
Guatemala,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3014,0.3072,0.3131,0.3131,0.317,0.2996,0.3066,0.2159,0.2522,0.2692,0.3486
Guatemala,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,8.4392,8.6016,8.7668,8.7668,8.876,8.3888,8.5848,6.0452,7.0616,7.5376,9.7608
Guinea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,176.8532,181.6812,187.0101,188.6989,186.6482,199.7301,205.6902,195.4695,185.0116,182.514,180.05
Guinea,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,4951.8896,5087.0736,5236.2828,5283.5692,5226.1496,5592.4428,5759.3256,5473.146,5180.3248,5110.392,5041.4
Guinea-Bissau,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,7.9989,9.45,5.95,7.6509,8.3416,7.4243,7.9683,8.4945,8.3403,8.8658,9.1204
Guinea-Bissau,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,223.9692,264.6,166.6,214.2252,233.5648,207.8804,223.1124,237.846,233.5284,248.2424,255.3712
Guyana,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,38.1444,43.8368,49.3164,50.806,39.9532,46.0978,44.422,47.2948,49.343,41.4428,41.0172
Guyana,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1068.0432,1227.4304,1380.8592,1422.568,1118.6896,1290.7384,1243.816,1324.2544,1381.604,1160.3984,1148.4816
Haiti,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,6.7228,6.5865,5.8871,5.2776,6.7596,6.8632,16.6421,6.6261,6.6676,6.6474,6.1466
Haiti,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,188.2384,184.422,164.8388,147.7728,189.2688,192.1696,465.9788,185.5308,186.6928,186.1272,172.1048
Honduras,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.252,0.226,0.549,0.5206,0.5331,0.4277,0.4227,0.4469,0.5643,0.4895,0.4936
Honduras,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,7.056,6.328,15.372,14.5768,14.9268,11.9756,11.8356,12.5132,15.8004,13.706,13.8208
Hungary,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.8288,0.7392,0.672,0.7848,0.8142,0.7742,0.8204,0.742,0.8372,0.7616,0.6524
Hungary,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,23.2064,20.6976,18.816,21.9744,22.7976,21.6776,22.9712,20.776,23.4416,21.3248,18.2672
India,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4513.1122,4658.9909,4656.2516,4591.7756,4643.9433,4620.7898,4661.1538,4608.9924,4831.3429,4885.1775,4897.984
India,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,126367.1416,130451.7452,130375.0448,128569.7168,130030.4124,129382.1144,130512.3064,129051.7872,135277.6012,136784.97,137143.552
Indonesia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2450.6619,2459.1191,2425.7134,2407.9535,2241.1368,2304.5652,2405.6138,2257.6043,2253.2463,2201.3463,2209.9875
Indonesia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,68618.5332,68855.3348,67919.9752,67422.698,62751.8304,64527.8256,67357.1864,63212.9204,63090.8964,61637.6964,61879.65
Iran (Islamic Republic of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,125.286,124.1863,118.4922,116.4867,131.0085,87.2336,93.9366,126.385,108.6757,95.2418,87.92
Iran (Islamic Republic of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3508.008,3477.2164,3317.7816,3261.6276,3668.238,2442.5408,2630.2248,3538.78,3042.9196,2666.7704,2461.76
Iraq,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,22.2519,26.8262,22.1057,6.8292,10.5647,15.1992,1.5183,35.7484,28.4463,26.9319,1.0749
Iraq,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,623.0532,751.1336,618.9596,191.2176,295.8116,425.5776,42.5124,1000.9552,796.4964,754.0932,30.0972
Italy,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,118.4662,108.8736,110.628,114.5748,118.003,118.003,109.4638,110.8951,114.5693,114.4282,110.0837
Italy,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3317.0536,3048.4608,3097.584,3208.0944,3304.084,3304.084,3064.9864,3105.0628,3207.9404,3203.9896,3082.3436
Jamaica,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0069,0.0011,0.0007,0.0004,0.0003,0.0001,0,0.0001,0,0,0
Jamaica,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.1932,0.0308,0.0196,0.0112,0.0084,0.0028,0,0.0028,0,0,0
Japan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,335.9664,337.0059,334.5111,330.3531,326.403,323.7003,305.613,305.613,303.9498,291.8916,311.3302
Japan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,9407.0592,9436.1652,9366.3108,9249.8868,9139.284,9063.6084,8557.164,8557.164,8510.5944,8172.9648,8717.2456
Kazakhstan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,20.448,19.6566,20.9419,21.7059,20.7313,22.969,22.3053,22.4131,22.4806,21.2402,19.3282
Kazakhstan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,572.544,550.3848,586.3732,607.7652,580.4764,643.132,624.5484,627.5668,629.4568,594.7256,541.1896
Kenya,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.0741,2.1944,1.9873,2.0607,2.0536,2.1274,1.8176,1.7494,1.9793,1.7884,2.073
Kenya,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,58.0748,61.4432,55.6444,57.6996,57.5008,59.5672,50.8928,48.9832,55.4204,50.0752,58.044
Kyrgyzstan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.5738,1.7373,1.772,1.8927,2.1769,2.3527,2.4939,2.4846,2.6216,2.7264,2.5576
Kyrgyzstan,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,44.0664,48.6444,49.616,52.9956,60.9532,65.8756,69.8292,69.5688,73.4048,76.3392,71.6128
Lao People's Democratic Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,91.7432,87.56,94.108,94.8268,95.63,93.9407,83.3336,83.5818,90.5576,84.3274,80.3886
Lao People's Democratic Republic,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,2568.8096,2451.68,2635.024,2655.1504,2677.64,2630.3396,2333.3408,2340.2904,2535.6128,2361.1672,2250.8808
Liberia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.7174,2.5399,2.6691,3.0829,3.6728,2.747,2.7999,2.8812,2.8577,2.8577,3.0223
Liberia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,76.0872,71.1172,74.7348,86.3212,102.8384,76.916,78.3972,80.6736,80.0156,80.0156,84.6244
Madagascar,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,220.6142,179.4389,216.462,200.0618,223.6533,220.7916,261.9008,283.2425,296.3266,283.136,282.8186
Madagascar,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,6177.1976,5024.2892,6060.936,5601.7304,6262.2924,6182.1648,7333.2224,7930.79,8297.1448,7927.808,7918.9208
Malawi,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.2092,4.5693,4.718,4.6033,3.7573,4.5417,4.478,4.9401,5.0934,5.32,5.3051
Malawi,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,117.8576,127.9404,132.104,128.8924,105.2044,127.1676,125.384,138.3228,142.6152,148.96,148.5428
Malaysia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,122.4769,120.1749,109.9588,121.9426,123.2328,122.6563,125.2385,120.2474,115.3851,115.9269,114.2245
Malaysia,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,3429.3532,3364.8972,3078.8464,3414.3928,3450.5184,3434.3764,3506.678,3366.9272,3230.7828,3245.9532,3198.286
Mali,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,42.147,46.1315,47.8929,53.3498,58.425,53.7512,67.8663,64.7251,62.8642,61.1822,62.1681
Mali,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1180.116,1291.682,1341.0012,1493.7944,1635.9,1505.0336,1900.2564,1812.3028,1760.1976,1713.1016,1740.7068
Mauritania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,10.36,11.452,15.9891,12.3621,12.1772,16.52,17.36,20.44,19.04,21.56,19.88
Mauritania,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,290.08,320.656,447.6948,346.1388,340.9616,462.56,486.08,572.32,533.12,603.68,556.64
Mauritius,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0547,0.0538,0.0729,0.0602,0.0285,0.0099,0.0023,0.0011,0,0,0
Mauritius,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,1.5316,1.5064,2.0412,1.6856,0.798,0.2772,0.0644,0.0308,0,0,0
Mexico,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,3.6501,3.8041,4.6657,4.6652,4.7541,4.7711,5.1833,4.4219,5.4591,4.6242,4.3273
Mexico,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,102.2028,106.5148,130.6396,130.6256,133.1148,133.5908,145.1324,123.8132,152.8548,129.4776,121.1644
Micronesia (Federated States of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0211,0.0223,0.023,0.0225,0.0226,0.0226,0.0227,0.0229,0.0229,0.0229,0.023
Micronesia (Federated States of),Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,0.5908,0.6244,0.644,0.63,0.6328,0.6328,0.6356,0.6412,0.6412,0.6412,0.644
Morocco,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.562,1.4,1.2339,2.3267,2.1076,2.2436,2.2655,2.2324,1.6206,2.1154,1.7696
Morocco,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,71.736,39.2,34.5492,65.1476,59.0128,62.8208,63.434,62.5072,45.3768,59.2312,49.5488
Mozambique,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,25.438,28.259,26.355,21.77,22.89,22.75,24.5,18.9,21.91,22.3645,20.3
Mozambique,Rice Cultivation,kt,Emissions (CO2eq) (AR5),FAO TIER 1,712.264,791.252,737.94,609.56,640.92,637,686,529.2,613.48,626.206,568.4
