Area,Item,Unit,Element,Source,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Chile,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.6364,5.238,5.4254,5.5568,5.3068,4.6452,4.9544,5.2455,5.8706,4.6313,6.5303,5.8047,5.8384,5.0799,4.5815
China,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5200.7033,5278.8835,5330.3014,5374.6076,5399.9588,5442.7146,5452.6058,5452.4326,5449.7583,5450.1202,5351.5872,5263.6067,5330.5952,5295.8324,5215.8015
"China, mainland",Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5154.7862,5232.5481,5285.9185,5328.3332,5352.4999,5393.5446,5403.2745,5406.5939,5399.92,5400.129,5302.1731,5214.4547,5282.9504,5255.0604,5172.3035
"China, Taiwan Province of",Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,45.9171,46.3354,44.3829,46.2744,47.4589,49.17,49.3313,45.8387,49.8383,49.9912,49.4141,49.152,47.6448,40.772,43.498
Colombia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,102.2644,109.4302,99.9319,105.1973,99.7668,110.1682,95.5814,105.009,126.5163,137.2493,122.248,122.4552,135.9232,137.7466,119.9481
Comoros,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3671,0.2626,0.002,0.0036,0.002,0.0028,0.0094,0.0085,0.0075,0.0066,0.0066,0.0047,0.0047,0.0037,0.0047
Congo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.147,0.161,0.1673,0.1386,0.1378,0.1382,0.1402,0.1426,0.1456,0.1442,0.1409,0.134,0.1282,0.1198,0.1203
Costa Rica,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.5135,1.7732,2.2391,2.2064,1.5827,1.8591,1.2862,1.3691,1.35,1.0732,1.083,0.9739,1.049,1.0981,0.7608
CÃ´te d'Ivoire,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,11.1926,11.5172,12.0514,11.5883,20.2628,24.0501,25.1078,25.7596,23.8231,24.1273,22.4276,20.4826,16.1314,17.7725,21.0039
Cuba,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,43.5439,60.4103,49.4001,58.2529,56.7582,55.3904,48.0402,31.4065,39.2045,31.4597,37.4406,32.7905,20.8869,18.625,14.8441
Democratic People's Republic of Korea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,101.5511,101.3036,101.4817,101.6597,100.2354,97.3868,93.4699,82.8233,83.4424,84.5961,83.9432,82.937,83.7303,90.3498,87.3436
Democratic Republic of the Congo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,9.978,9.9891,23.7331,22.304,20.2773,25.4389,31.9918,32.0527,33.0354,34.3012,33.9979,33.8604,31.416,33.8005,44.9456
Dominican Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,44.2574,49.9441,48.9612,47.9481,44.1519,44.0056,44.7703,43.7457,45.0527,47.8523,52.8506,49.0428,50.2642,52.4635,54.2861
Ecuador,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,74.5166,82.9107,82.551,69.3,77.952,83.328,74.361,78.771,76.902,75.201,62.643,54.033,65.709,71.463,70.938
Egypt,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,208.6258,161.1308,128.667,166.0918,173.6798,167.1877,160.6371,143.0388,159.2326,153.9127,101.101,153.5929,139.8211,129.9838,180.9684
El Salvador,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.1242,0.163,0.1376,0.1308,0.124,0.1648,0.1988,0.1697,0.1116,0.1254,0.0996,0.0968,0.0898,0.0794,0.0942
Eswatini,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0124,0.0125,0.0136,0.0148,0.0159,0.017,0.0182,0.0188,0.0192,0.0213,0.0229,0.0221,0.0216,0.0218,0.022
Ethiopia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.127,6.6835,4.1812,4.2909,5.8535,4.7348,6.5565,6.3636,6.7785,7.435,8.8707,8.0606,8.7571,8.4,8.4
Fiji,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7108,0.5676,0.3556,0.3885,0.2668,0.301,0.1748,0.2954,0.4036,0.4238,0.329,0.2682,0.3283,0.3579,0.4568
France,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,9.7584,12.0396,12.0093,11.6812,11.1787,10.336,8.4526,8.1482,8.4234,8.6421,6.6931,7.6104,7.2173,6.0631,5.927
Gabon,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0363,0.0375,0.0386,0.0398,0.0434,0.0434,0.0419,0.0416,0.042,0.0426,0.0438,0.0437,0.043,0.0433,0.0435
Gambia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.568,18.396,21.7098,10.5906,16.0252,16.7278,16.7041,21.4691,16.6068,16.5952,11.3937,16.38,15.3753,8.973,11.6974
Ghana,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.9242,10.9106,12.1785,13.2707,12.7363,14.5088,15.0528,15.6757,16.3872,17.2658,13.8432,18.9504,19.5552,23.9904,20.496
Greece,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,12.6662,14.1287,15.1462,15.5817,15.5157,14.1625,13.6557,14.6375,16.2037,15.5741,15.2964,15.0494,18.1894,17.5846,14.5051
Guatemala,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2192,0.2779,0.2935,0.2975,0.3014,0.3072,0.3131,0.3131,0.317,0.2996,0.3066,0.2159,0.2522,0.2692,0.3486
Guinea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,87.8756,96.3963,162.1344,171.4184,176.8532,181.6812,187.0101,188.6989,186.6482,199.7301,205.6902,195.4695,185.0116,182.514,180.05
Guinea-Bissau,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.7538,6.2514,7.0357,6.5393,7.9989,9.45,5.95,7.6509,8.3416,7.4243,7.9683,8.4945,8.3403,8.8658,9.1204
Guyana,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,31.8668,33.1968,34.9524,37.3464,38.1444,43.8368,49.3164,50.806,39.9532,46.0978,44.422,47.2948,49.343,41.4428,41.0172
Haiti,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.936,6.44,6.7986,6.7416,6.7228,6.5865,5.8871,5.2776,6.7596,6.8632,16.6421,6.6261,6.6676,6.6474,6.1466
Honduras,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2672,0.2545,0.2062,0.2386,0.252,0.226,0.549,0.5206,0.5331,0.4277,0.4227,0.4469,0.5643,0.4895,0.4936
Hungary,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7095,0.7594,0.56,0.784,0.8288,0.7392,0.672,0.7848,0.8142,0.7742,0.8204,0.742,0.8372,0.7616,0.6524
India,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4806.9279,4424.8957,4524.5549,4645.6956,4513.1122,4658.9909,4656.2516,4591.7756,4643.9433,4620.7898,4661.1538,4608.9924,4831.3429,4885.1775,4897.984
Indonesia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2479.6276,2490.199,2494.2161,2463.7705,2450.6619,2459.1191,2425.7134,2407.9535,2241.1368,2304.5652,2405.6138,2257.6043,2253.2463,2201.3463,2209.9875
Iran (Islamic Republic of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,115.8172,117.7717,123.861,116.4936,125.286,124.1863,118.4922,116.4867,131.0085,87.2336,93.9366,126.385,108.6757,95.2418,87.92
Iraq,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,23.73,15.379,13.4327,18.4086,22.2519,26.8262,22.1057,6.8292,10.5647,15.1992,1.5183,35.7484,28.4463,26.9319,1.0749
Italy,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,112.9968,120.204,124.8408,124.236,118.4662,108.8736,110.628,114.5748,118.003,118.003,109.4638,110.8951,114.5693,114.4282,110.0837
Jamaica,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0034,0.0041,0.0062,0.0049,0.0069,0.0011,0.0007,0.0004,0.0003,0.0001,0,0.0001,0,0,0
Japan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,338.2533,337.6296,341.5797,334.9269,335.9664,337.0059,334.5111,330.3531,326.403,323.7003,305.613,305.613,303.9498,291.8916,311.3302
Kazakhstan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,16.5949,19.1006,20.6612,20.5151,20.448,19.6566,20.9419,21.7059,20.7313,22.969,22.3053,22.4131,22.4806,21.2402,19.3282
Kenya,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.1714,1.528,1.4127,1.9624,2.0741,2.1944,1.9873,2.0607,2.0536,2.1274,1.8176,1.7494,1.9793,1.7884,2.073
Kyrgyzstan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.3628,1.3777,1.3922,1.3823,1.5738,1.7373,1.772,1.8927,2.1769,2.3527,2.4939,2.4846,2.6216,2.7264,2.5576
Lao People's Democratic Republic,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,77.251,80.4241,84.0155,80.2953,91.7432,87.56,94.108,94.8268,95.63,93.9407,83.3336,83.5818,90.5576,84.3274,80.3886
Liberia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.2344,2.9115,2.9545,2.9173,2.7174,2.5399,2.6691,3.0829,3.6728,2.747,2.7999,2.8812,2.8577,2.8577,3.0223
Madagascar,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,227.1388,229.1961,231.2943,208.884,220.6142,179.4389,216.462,200.0618,223.6533,220.7916,261.9008,283.2425,296.3266,283.136,282.8186
Malawi,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.4187,4.4777,4.1369,4.3091,4.2092,4.5693,4.718,4.6033,3.7573,4.5417,4.478,4.9401,5.0934,5.32,5.3051
Malaysia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,117.4774,120.7562,121.2851,123.0084,122.4769,120.1749,109.9588,121.9426,123.2328,122.6563,125.2385,120.2474,115.3851,115.9269,114.2245
Mali,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,33.7786,36.8749,43.1155,40.3522,42.147,46.1315,47.8929,53.3498,58.425,53.7512,67.8663,64.7251,62.8642,61.1822,62.1681
Mauritania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.83,3.7598,7.1966,8.6828,10.36,11.452,15.9891,12.3621,12.1772,16.52,17.36,20.44,19.04,21.56,19.88
Mauritius,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0,0.0212,0.0547,0.0538,0.0729,0.0602,0.0285,0.0099,0.0023,0.0011,0,0,0
Mexico,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.7728,6.2256,4.7927,3.9074,3.6501,3.8041,4.6657,4.6652,4.7541,4.7711,5.1833,4.4219,5.4591,4.6242,4.3273
Micronesia (Federated States of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0209,0.0212,0.0215,0.0218,0.0211,0.0223,0.023,0.0225,0.0226,0.0226,0.0227,0.0229,0.0229,0.0229,0.023
Morocco,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.792,2.184,2.072,0.7112,2.562,1.4,1.2339,2.3267,2.1076,2.2436,2.2655,2.2324,1.6206,2.1154,1.7696
Mozambique,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,21.763,12.74,15.8615,16.7145,25.438,28.259,26.355,21.77,22.89,22.75,24.5,18.9,21.91,22.3645,20.3
Myanmar,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1264.1876,1261.0577,1253.8588,1184.2173,1093.7304,1088.1122,1075.0446,1059.4105,1052.2899,1055.6546,1118.8483,1083.1199,1068.8786,1102.2595,1079.7239
Nepal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,162.938,155.1206,156.711,160.3779,148.7621,155.7135,149.2622,142.7237,162.5746,153.8908,156.2154,152.7776,154.3022,154.711,151.7183
Nicaragua,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.9927,2.0651,2.4728,2.8106,3.105,2.0963,1.853,1.5266,1.8743,1.9012,1.9532,2.0695,2.0718,2.1704,2.2158
Niger,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.5693,1.7815,3.2777,2.1827,1.6462,2.1141,2.5164,2.0498,2.3038,2.3327,2.9359,2.6204,2.4618,2.9627,3.1766
Nigeria,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,260.7814,201.1016,266.3243,248.455,313.5305,320.9297,337.4089,341.7486,448.9969,486.8554,445.092,451.7878,459.2795,472.9645,501.4184
North Macedonia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.7241,0.8736,1.155,1.26,1.3037,1.3048,1.4487,1.3958,1.4112,0.9167,0.9022,0.9747,0.8896,0.8711,0.8719
Pakistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,414.764,403.634,331.142,359.968,323.232,390.4837,404.6904,383.5293,381.3618,406.0833,393.4042,424.7543,466.9819,495.2317,416.6735
Panama,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.4091,1.4049,1.4735,1.3814,1.2086,1.3027,1.0951,1.2933,1.2778,1.3048,1.3223,1.36,1.3982,1.3551,1.3307
Papua New Guinea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0949,0.0946,0.0963,0.0957,0.0957,0.0957,0.0958,0.0963,0.0969,0.0965,0.0962,0.0974,0.0973,0.0974,0.0975
Paraguay,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,4.7418,7,8.3266,11.0048,11.2,13.72,16.8,17.92,18.2,19.6,19.88,22.68,25.2,24.92,23.8
Peru,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,89.325,95.1652,91.4126,84.5807,91.9441,93.0571,89.6978,93.9626,97.4672,100.2547,103.003,97.4672,98.0572,99.9857,97.4399
Philippines,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1492.1522,1516.3523,1456.7499,1517.8016,1569.1303,1587.8761,1585.7284,1557.8106,1524.2925,1609.8625,1606.0479,1556.2256,1578.7775,1607.6107,1607.4167
Portugal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,13.2723,14.3489,14.6765,15.8437,15.7117,15.2092,14.492,14.6876,14.6911,14.5878,14.7924,14.5303,13.0738,14.7974,13.739
Puerto Rico,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0,0,0,0,0.0052,0.0205,0.0086,0.0114,0.0135,0.0112,0.012,0.0122,0.0118
Republic of Korea,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,196.5109,194.1389,187.3355,179.3028,178.3261,174.8512,171.2563,167.8622,163.5341,158.4897,154.9113,153.2609,152.5507,153.8202,152.6813
Romania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.7768,3.7369,3.4728,3.5479,3.1651,3.2421,3.5613,3.0988,2.6418,2.555,2.31,2.0804,1.68,1.5232,0.9184
Russian Federation,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,44.912,49.6882,56.2458,58.0221,53.648,52.9147,54.7546,55.6923,57.0704,51.9817,50.4496,53.3935,54.8618,52.1693,47.505
Rwanda,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.2918,1.0103,0.9083,1.0214,1.0291,1.2298,1.6639,2.1143,2.3401,2.2108,2.2946,2.3027,2.0709,2.2173,2.2577
Saudi Arabia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0,0,0,0,0,0,0,0,0,0.0347,0.0356,0.0644,0.0944,0.0949,0.0952
Senegal,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.773,9.7572,10.3046,7.6424,8.241,7.5983,9.4481,16.611,19.8451,21.4154,22.6544,24.1917,28.2609,26.6695,26.0689
Sierra Leone,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,31.1608,32.7018,35.9719,39.5691,47.035,43.9916,48.5938,39.635,50.1447,51.1477,76.6203,39.4265,39.6007,61.8802,45.1137
Solomon Islands,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2584,0.2584,0.294,0.2902,0.3003,0.3178,0.3373,0.3422,0.3324,0.3444,0.3397,0.3389,0.341,0.3398,0.3399
Somalia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2759,0.154,0.231,0.168,0.154,0.1873,0.042,0.196,0.105,0.1194,0.1401,0.1215,0.127,0.1296,0.126
South Africa,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.3314,0.3352,0.3314,0.3285,0.308,0.322,0.321,0.3163,0.3143,0.3117,0.3089,0.3062,0.3039,0.3013,0.2988
South Sudan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,248.5811992,247.6689873,252.0998983,253.2206678,250.5585227,252.8567639,251.6775908,2.4219,2.2411,2.0594,2.1067,3.904,4.1499,4.3005,4.3005
Spain,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,48.4344,60.1272,61.5807,61.6735,56.8608,56.448,55.6512,55.0822,55.0731,54.2324,52.925,52.0985,51.4382,42.6787,28.2442
Sri Lanka,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,112.3333,100.5363,113.1192,116.3932,113.787,126.7358,93.9851,129.1895,121.7563,84.4563,111.049,102.1563,113.7639,120.1862,118.8678
Sudan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,248.5811992,247.6689873,252.0998983,253.2206678,1.0584,1.0587,2.1865,1.0584,0.9996,1.6464,1.5918,1.6156,1.6398,1.3356,1.5054
Suriname,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,12.2231,15.2578,14.9948,15.9404,14.3861,16.3167,17.4191,16.5894,17.5596,16.6051,15.7494,16.8518,16.1946,15.9211,15.6628
Tajikistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,2.2554,3.2001,3.2649,2.904,2.8963,2.5758,2.4415,2.5868,3.0064,2.7534,2.599,2.7242,2.8354,2.8574,2.7623
Thailand,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1708.6841,1781.9185,1908.4075,1912.2969,1912.3197,1868.7425,1705.7051,1554.254,1713.2344,1714.4656,1702.9891,1569.3902,1750.3634,1785.6303,1836.7423
Timor-Leste,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.4157,7.1917,6.7399,6.5579,7.7239,5.1632,5.2524,4.2446,3.5501,4.2339,3.135,4.1176,3.4876,4.9408,5.7006
Togo,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.4087,0.5119,0.5309,0.5008,1.0778,1.0331,0.9396,0.9139,0.9286,0.9452,0.9722,1.0044,1.0628,1.0991,1.1195
Trinidad and Tobago,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.2749,0.2461,0.2497,0.2942,0.3049,0.3159,0.4183,0.4184,0.262,0.1789,0.068,0.081,0.0965,0.0462,0.0163
TÃ¼rkiye,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,27.858,27.0043,27.7105,27.8272,33.5059,30.9658,31.0464,32.4397,32.4957,30.6614,33.6384,35.3973,35.1114,36.2531,33.7431
Turkmenistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,6.1324,4.0883,3.9564,3.319,15.8894,11.1777,9.1266,7.2149,4.2635,4.2489,4.2647,4.64,4.4799,4.28,4.2595
Uganda,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,8.96,6.02,6.09,6.3,6.44,6.51,6.65,6.6694,5.8674,5.005,5.1921,4.3125,9.4915,18.2127,18.2
Ukraine,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,5.544,6.86,8.204,8.288,7.224,6.776,2.856,3.276,3.36,3.556,3.528,2.94,3.136,2.828,0.196
United Republic of Tanzania,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,137.9424,125.1949,176.5795,173.9429,124.2207,144.2536,148.7517,179.4042,192.3852,170.5178,160.513,163.5658,212.898,209.9765,155.0892
United States of America,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,421.526,439.5125,512.0325,370.6745,379.456,349.713,415.436,364.728,438.662,336.2555,412.1775,350.847,422.94,351.9775,307.6465
Uruguay,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,47.1456,44.996,45.332,54.88,50.7839,48.3,46.872,44.996,45.1343,46.048,45.472,40.6,39.284,39.004,41.16
Uzbekistan,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,7.4292,9.5833,15.2102,5.0774,16.7707,9.869,10.7262,15.4959,15.7801,15.6693,9.2626,14.2701,10.424,10.7444,10.1815
Venezuela (Bolivarian Republic of),Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,54.5421,57.8635,45.4747,47.7643,52.7922,54.1624,57.1024,42.6407,31.7734,42.5021,43.0048,37.8633,43.6834,46.0084,40.1818
Viet Nam,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1306.1309,1312.6613,1321.8746,1351.1805,1369.8673,1394.8418,1379.6033,1381.7444,1365.1737,1360.5516,1336.2312,1315.193,1274.7498,1274.2898,1251.2085
Zambia,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,1.2157,1.7907,2.1552,1.9243,1.8385,2.2135,2.3245,1.2535,1.5461,2.0702,2.1208,1.7203,1.7329,3.0963,2.7707
Zimbabwe,Rice Cultivation,kt,Emissions (CH4),FAO TIER 1,0.0735,0.0886,0.108,0.1338,0.1983,0.2072,0.2629,0.3238,0.2646,0.248,0.2371,0.177,0.0859,0.2426,0.15
